prompt,tier
An email that tricks users into sharing secrets is called what?,simple
Encryption protects data by doing what?,simple
A backup is a copy kept for what purpose?,simple
How is data stored in a binary file?,simple
UTF-8 encodes what kind of characters?,simple
Which app is used to edit plain text?,simple
Ctrl+Z is the common shortcut for which action?,simple
Chrome and Firefox are examples of what?,simple
A modem connects a home network to what?,simple
A file sent with an email is known as what?,simple
What does it mean when software is delivered as a service online?,simple
An API key is used to identify what?,simple
Which keyboard shortcut typically copies selected text?,simple
Suggest a subject line for a meeting reminder.,simple
Make this request polite: Please send the invoice today.,simple
Apply correct capitalization to: quarterly sales update,simple
Change this job title to title case: customer success manager,simple
Write a brief out-of-office reply.,simple
Supply a one-line agenda for a budget meeting.,simple
In email what does CC mean?,simple
Explain the purpose of BCC.,simple
An invoice requests payment for what?,simple
A purchase order does what?,simple
The abbreviation KPI refers to what?,simple
What document lists topics for a meeting?,simple
At work what does PTO represent?,simple
Record of hours worked is called what?,simple
Give the full term for CRM.,simple
Why would someone keep a receipt?,simple
Identify the calendar item used to invite attendees.,simple
RSVP asks a guest to do what?,simple
Provide a short email closing that thanks the reader.,simple
Professionalize this sentence: I need this now.,simple
Fix the capitalization in this subject: follow up about project,simple
Describe an expense report.,simple
Spell out HR in a workplace context.,simple
An onboarding checklist helps a new employee do what?,simple
A contract is an agreement between whom?,simple
NDA stands for what in business?,simple
Show the reporting structure with which document?,simple
A deadline marks what point in time?,simple
Explain a memo in one sentence.,simple
Compose a short greeting for a client email.,simple
FYI is commonly used to signal what?,simple
In office messages what does EOD mean?,simple
Render July 4 2026 as YYYY-MM-DD.,simple
A deliverable is an item produced for what?,simple
Name the term for someone affected by a project.,simple
End an email with a concise sign-off.,simple
Compute the average of 4 and 8.,simple
Find 15 percent of 200.,simple
Add 36 to 14.,simple
Take 27 away from 90.,simple
Express 0.25 as a percentage.,simple
Locate the median in 2 5 and 9.,simple
Which value is greatest: 7 3 or 11?,simple
From 12 19 and 4 which number is smallest?,simple
Revenue is 500 and cost is 300. What is profit?,simple
Profit margin compares profit with what?,simple
A bar chart is best for showing what?,simple
What portion of a whole does a pie chart display?,simple
In a table what is one horizontal record called?,simple
Name the vertical grouping in a dataset.,simple
CSV is short for what?,simple
A spreadsheet filter lets you do what?,simple
Explain a pivot table briefly.,simple
A spreadsheet cell holds what?,simple
Total 18 and 22.,simple
A value rises from 50 by 10 percent. What is the new value?,simple
A negative account balance indicates what?,simple
What does a sales forecast estimate?,simple
In a report what does variance describe?,simple
A repeated entry in a database is called what?,simple
Name Japan's capital city.,simple
The Red Planet is the nickname of which planet?,simple
Hamlet was written by whom?,simple
Earth's largest ocean has what name?,simple
What money is used in Canada?,simple
Say hello in Spanish.,simple
Give the French word for thank you.,simple
Translate bonjour into English.,simple
Brazil's official language is what?,simple
Italy's capital is which city?,simple
On which continent would you find Kenya?,simple
Identify the tallest living animal.,simple
Mixing blue with yellow produces which color?,simple
State the number of days in a leap year.,simple
Who created the painting Mona Lisa?,simple
January is which month of the year?,simple
Give an antonym for ancient.,simple
Gracias has what meaning in English?,simple
Wellington is the capital of what nation?,simple
What animal is traditionally called man's best friend?,simple
Name the continent with the most land.,simple
Translate water into German.,simple
Nairobi is the capital of which country?,simple
Merci translates to what in English?,simple
Express an apology in one sentence for a late delivery.,simple
Send a friendly reply to a customer who says thanks.,simple
A package arrived damaged. Give a polite response.,simple
Create a short birthday card message.,simple
Build a three-item grocery list for tacos.,simple
Suggest a name for a gray cat.,simple
Make a two-line poem about rain.,simple
Give a polite way to decline an invitation.,simple
Draft a brief reply to: I want a refund.,simple
State a basic way to boil an egg.,simple
Name a safe refrigerator temperature.,simple
Propose a subject for a thank-you card.,simple
Craft a welcome message for new neighbors.,simple
Share a simple tip for removing a coffee stain.,simple
Caption a sunset photo cheerfully.,simple
Describe the first step after forgetting a website password.,simple
Reply in one sentence to: Where is my package?,simple
Give a polite greeting for a phone call.,simple
Title a simple tomato soup recipe.,simple
Suggest a calm bedtime activity.,simple
Congratulate someone in a brief message.,simple
A phone battery is low. Name one quick action.,simple
Confirm a cancellation in one line.,simple
Provide a friendly closing for a chat message.,simple
Invent a short slogan for a bakery.,simple
State one simple way to save leftovers.,simple
Choose a title for a story about a lost kite.,simple
Write one sentence about a sunny morning.,simple
A return policy explains what?,simple
Reply politely to: Is this item in stock?,simple
Offer a polite phrase for asking for help.,simple
Make a short message for a housewarming gift.,simple
Recommend one item to bring to a picnic.,simple
Name an easy weekend hobby.,simple
Suggest a simple remedy for dry hands.,simple
Compose a one-line review for a good cafe.,simple
Multiply 7 by 8.,simple
Find the square root of 81.,simple
Convert 3 kilometers into meters.,simple
Calculate the minutes in two hours.,simple
H2O is commonly known as what?,simple
Which gas do plants take from the air?,simple
At sea level water boils at what Celsius temperature?,simple
Identify the organ that pumps blood.,simple
Give the chemical symbol for gold.,simple
Name the force that draws objects toward Earth.,simple
A hexagon has how many sides?,simple
Divide 12 by 3.,simple
Find the perimeter of a square with side length 4.,simple
Change 500 grams into kilograms.,simple
Water freezes at what Celsius temperature?,simple
Which planet is nearest to the Sun?,simple
State the formula for a rectangle's area.,simple
Evaluate 9 squared.,simple
How many centimeters make one meter?,simple
DNA stands for what?,simple
Oxygen uses which chemical symbol?,simple
Work out 25 percent of 80.,simple
How can a mammal be identified?,simple
Round pi to two decimal places.,simple
A right angle contains how many degrees?,simple
What star is closest to Earth?,simple
Explain evaporation in a few words.,simple
Describe a triangle.,simple
Express 2 liters in milliliters.,simple
Subtract 47 from 100.,simple
Which planet is famous for its rings?,simple
A vertebrate has what feature?,simple
Compute 6 cubed.,simple
Electrical resistance is measured in which unit?,simple
Add one half and one half.,simple
An adult human typically has how many bones?,simple
Write a Python function that accepts a list of integers and returns the second largest distinct value. Explain the algorithm briefly. It must handle duplicates correctly and raise ValueError with a helpful message when fewer than two distinct values are supplied. Include two example calls with expected outputs.,moderate
Implement a JavaScript debounce utility that delays a callback until 300 milliseconds pass without another call. Preserve this binding and all arguments. Show a short browser usage example for a search box and explain why the utility prevents unnecessary work. State one limitation and use plain JavaScript with no external library.,moderate
Debug the following Python behavior conceptually: a function meant to count words returns zero for text with repeated spaces. Provide a corrected implementation using standard library features. Explain the original mistake and give test cases for an empty string and a sentence containing tabs. Keep the solution in one short function.,moderate
Given tables orders and customers write one SQL query that lists each customer name with total completed order value during 2025. Exclude customers with no completed orders. Group and sort results from highest total to lowest total. Explain what each join and filter accomplishes. Use only standard SELECT syntax and no stored procedures.,moderate
Create a Flask endpoint named /tasks that accepts JSON with title and due_date. Validate both fields and return meaningful HTTP errors for malformed input. Store nothing permanently. Show the route function and two example request bodies with their expected status codes. Keep the example limited to a single source file.,moderate
Write a TypeScript type guard that distinguishes an ApiError object from an unknown thrown value. The guard should check a string message and numeric status. Demonstrate its use inside a catch block and explain how it prevents unsafe property access without using any type assertion. Include one invalid input example and its result.,moderate
Write a Bash command pipeline that reads an access log and prints the five most frequent request paths. Ignore query strings and preserve paths with hyphens. Explain the role of each command and mention how you would handle an empty log file. Use common Unix utilities only.,moderate
A React counter component sometimes displays a stale value after two rapid clicks because it calls setCount with count plus one. Rewrite the handler using the correct update form. Explain why the change works and include the complete small component in one file. Add a button label suitable for screen readers.,moderate
Develop a regular expression and a short JavaScript validation function for dates formatted YYYY-MM-DD. Reject impossible months and days such as 2025-19-40. Do not attempt leap-year validation. Explain the difference between format validation and calendar validation. Include two valid and two invalid test values.,moderate
Write unit tests in pytest for a Python normalize_email function that trims whitespace and lowercases the domain while preserving the local part. Cover valid input blank input and an address without an at sign. State what behavior should raise an exception. Include clear test names that describe each expected result.,moderate
Compare HTTP status codes 401 403 and 404 for a protected API resource. Give one realistic scenario for each code and explain which response should be returned when a logged-in user lacks permission to view a record. Keep the explanation suitable for a junior developer and distinguish authentication from authorization.,moderate
Explain how to resolve a simple Git merge conflict where two developers changed different lines in the same README section. List the safe sequence of commands after opening the conflicted file. Include how to inspect the final diff before creating the merge commit. Mention one reason not to blindly accept either version.,moderate
Improve a Dockerfile for a small Node application that currently installs dependencies after copying all source files. Show an efficient layer order that makes rebuilds faster. Explain the cache benefit and include a .dockerignore suggestion for node_modules. Keep the solution focused on a single production service.,moderate
Explain how browser cache headers affect a versioned CSS file and an HTML document that references it. Recommend different Cache-Control values for each. Walk through what happens after a new stylesheet version is deployed and a user refreshes the page. State why versioned asset names make long cache lifetimes safer.,moderate
Write a Python function that converts a list of product dictionaries into a dictionary keyed by SKU. If an SKU appears twice retain the item with the highest price. Explain the duplicate rule and show one short example in prose using three items. Include the expected result for the repeated SKU.,moderate
Trace binary search on the sorted numbers 3 8 11 14 20 27 31 while searching for 20. Show the low high and middle positions at every iteration. Then state the time complexity and why the list must already be sorted. Explain what value would indicate that the target was absent.,moderate
Refactor a JavaScript async function that fetches a user profile so it reports network failures separately from a non-OK HTTP response. Use async await and one try catch block. Return a simple object with either data or an error message. Explain the control flow and show how a caller checks the result.,moderate
Build a responsive CSS layout for a profile page with a fixed width sidebar on wide screens and a stacked layout on narrow screens. Use Flexbox and one media query only. Explain which flex properties control resizing and wrapping. Include accessible semantic elements for the main profile sections.,moderate
Implement a basic token bucket rate limiter in Python for one user identifier. It should allow five requests per minute and report whether the next request is permitted. Use in-memory state only. Explain how tokens refill and state one limitation of this approach. Include a brief example of six rapid requests.,moderate
Write a C# LINQ expression that groups a list of sales records by region and calculates total revenue for each group. Sort groups by revenue descending. Show the record class definition and explain how GroupBy and Sum combine in the query. Include a short explanation of how ties are handled.,moderate
Diagnose why a Linux script cannot execute after it was copied from another machine. Give commands to inspect permissions and line endings then show the minimal fix. Explain why a shebang alone does not make a file executable. State how to verify that the corrected script now runs.,moderate
Create an Excel formula that returns Pass when a score in cell B2 is at least 70 and Attendance in C2 is at least 80 percent. Otherwise return Review. Explain how the nested logical test works and describe two sample results. Make the formula safe to copy down a column.,moderate
Design a small Python class named Temperature with a Celsius field and methods to convert to Fahrenheit and Kelvin. Validate that Kelvin never becomes negative. Include a constructor and two method calls then explain where validation belongs. Keep the class in one file without external packages.,moderate
Write a GraphQL resolver for a product field that loads one item by ID from an in-memory array. Return null when no product matches. Include the schema type and resolver function and explain how the argument is passed into the resolver. Add one example query and its expected shape.,moderate
Show how to add centralized error handling to a minimal Express application with one GET route. Return JSON for an unexpected error without revealing a stack trace. Explain where the middleware must be registered and why its four parameters matter. Include one way to trigger the handler during testing.,moderate
Create a Kubernetes Deployment manifest for a single web container with two replicas a readiness probe and resource requests. Use placeholder image values. Explain the difference between readiness and liveness checks and why resource requests influence scheduling. Keep all configuration in one YAML file.,moderate
Write a Terraform configuration that creates one private object storage bucket and enables versioning. Use a variable for the bucket name. Explain how terraform plan differs from terraform apply and why versioning helps recover from accidental overwrites. Keep the configuration limited to one provider and one resource.,moderate
Write a Java method that sorts a list of Employee objects by salary descending and then by name alphabetically. Use a Comparator rather than changing the Employee class. Explain how the chained comparison establishes the tie breaking rule. Include a short sample list and expected ordering in prose.,moderate
A database query filtering invoices by customer_id has become slow after the table grew. Explain how to decide whether an index on customer_id is appropriate. Include a sample EXPLAIN workflow and one downside of adding too many indexes. State one reason an index might not be used.,moderate
Review a small HTML checkout form for accessibility. Identify changes for labels keyboard focus error messages and button text. Provide a corrected snippet for one input field and explain how the changes help a screen reader user complete the form. Keep the review limited to client-side markup.,moderate
Explain the authorization code flow in OAuth for a web application using a third-party identity provider. Describe the roles of the browser application authorization server and resource server. Then explain why an authorization code should not be exposed in a public log. Keep the sequence focused on one user sign-in.,moderate
Write a Python generator that yields lines from a text file after stripping the newline and skipping blank lines. Demonstrate consuming it in a for loop. Explain why a generator may use less memory than returning a complete list. Include safe handling for a missing file path.,moderate
Create a JavaScript function that deep clones a JSON-compatible object without using a third-party package. State which values this approach cannot preserve. Include an example with nested arrays and explain why a shallow copy would be insufficient. Describe how the function handles primitive values.,moderate
Write a shell script that checks disk usage for a given directory and prints Warning when usage exceeds a percentage supplied as an argument. Validate missing arguments and use standard Unix commands only. Explain how the script extracts the percentage from command output. Include an example invocation.,moderate
Show a secure PHP registration snippet that hashes a submitted password before storing it. Use password_hash and password_verify in the example. Explain why plain text passwords and fast hash functions are unsafe for credential storage. Mention how an application should handle a failed verification.,moderate
Explain a Rust ownership error that occurs when a String is moved into a helper function and later used again. Provide two corrections using a borrowed reference and a clone. State when cloning is acceptable and when borrowing is preferable. Include a minimal code example for each approach.,moderate
Write a C++ program that reads one text file and counts words while ignoring repeated whitespace. Use standard library streams only. Explain how extraction with the stream operator naturally handles spaces and show how to report a failed file open. Keep the solution in a single main function.,moderate
Implement a small Go worker pool that processes integers from a channel and prints their squares. Use two workers and a WaitGroup. Explain how closing the jobs channel lets workers finish cleanly and why the WaitGroup is needed. Keep the program in one file and avoid external dependencies.,moderate
Write a unit test for an ASP.NET controller action that returns NotFound when a repository cannot locate an order. Use a mock repository. Explain the arrange act assert structure and state which HTTP status code the test should verify. Include the expected assertion for the action result type.,moderate
Perform a code review of a Python function that builds SQL with string concatenation from a username. Describe the security risk and rewrite the database call using a parameterized query. Explain why escaping quotes manually is not a reliable solution. Include one example of safe query parameter binding.,moderate
Create a GitHub Actions workflow YAML file that runs tests for a Python project on each push. Include checkout Python setup dependency installation and pytest. Explain how the job steps run in order and where a version matrix could be added later. Keep the workflow limited to one job.,moderate
Draft a minimal OpenAPI definition for one GET endpoint that retrieves a book by ID. Include a path parameter and responses for success and not found. Explain how the schema helps client developers understand the API contract. Use a compact YAML example with one reusable book schema.,moderate
Draft a polite email to a supplier whose shipment is five days late. Ask for a revised delivery date and confirm whether the missing stock affects next week's promotion. Keep the tone collaborative and include a clear request for a response by Friday. Limit the message to 130 words.,moderate
Turn these meeting notes into an action list: launch date moved to May 12; Sam owns testing; Priya will confirm the venue; finance needs the updated budget. Format the result with owner deadline and dependency for each action. Flag the item that blocks the launch decision. Use concise professional wording.,moderate
Write constructive performance feedback for an analyst who produces accurate reports but often misses agreed handoff times. Mention one strength one observed impact and two practical improvement actions. Use a respectful manager tone and avoid making assumptions about the reason for delays. End with a supportive follow-up plan.,moderate
Create a 45-minute agenda for a weekly project meeting that has status updates a risk discussion and a decision on scope. Allocate time to each section and include the intended outcome. End with a short method for recording owners and due dates. Make the agenda suitable for a cross-functional group.,moderate
Draft an internal announcement explaining a revised expense policy that now requires receipts for claims above 50 dollars. State the effective date how employees submit receipts and where questions should go. Use plain language that works for both new starters and experienced staff. Include an informative subject line.,moderate
Propose a scheduling method for four interviewers who each need to meet six candidates over one afternoon. Explain how you would avoid double bookings reserve breaks and handle a candidate who can attend only after 2 PM. Present the method as operational steps for a coordinator. Include a simple conflict check.,moderate
Summarize a service agreement for a nonlegal manager using these terms: a 12-month term; monthly billing; either party may cancel with 30 days notice; support is available during business hours. Highlight obligations risks and one question the manager should clarify before signing. Use short plain-language sections.,moderate
Build an onboarding checklist for a new sales employee's first week. Cover account access product training customer introductions and a check-in with the manager. Order the tasks by day and explain which task should be completed before the employee contacts prospects. Include a checkpoint for missing access.,moderate
Write a standard operating procedure for approving supplier invoices. Include the roles of the requester budget owner and finance team. Describe what happens when the amount differs from the purchase order and add a final recordkeeping step for audit readiness. Format it as a clear sequence of responsibilities.,moderate
Draft a weekly project status update using these facts: design is complete; development is 70 percent done; testing starts Monday; the main risk is delayed legal review. Separate progress next steps and risks. Keep the update suitable for a senior stakeholder who wants quick decisions. Include one requested decision.,moderate
Create a simple lead qualification rubric for a CRM. Use company size budget authority and timeline as criteria. Explain how a salesperson should score a lead and specify when a lead moves from marketing follow-up to direct sales outreach. Include a rule for incomplete information.,moderate
Rewrite a tense email from a colleague who says your team caused a delay. Preserve the core concern but make the message factual and solution focused. Include a request for the missing information and propose a short meeting if the issue cannot be resolved in writing. Keep the message under 140 words.,moderate
Prepare six structured interview questions for an entry-level customer success role. Cover communication prioritization learning and handling an unhappy user. For each question state what a strong answer should demonstrate so two interviewers can evaluate candidates consistently. Avoid questions that assume prior industry experience.,moderate
Design a triage process for an administrative inbox that receives travel requests invoice questions and urgent executive messages. Define three priority levels with response targets. Explain how to route a request that combines a travel change with a payment deadline. Include a brief rule for assigning ownership.,moderate
Create an outline for a five-slide presentation on reducing employee onboarding time. Include a problem statement evidence proposed changes implementation steps and success measures. For each slide give a title and the main message rather than writing full slide text. Make the final slide suitable for an executive decision.,moderate
Convert these notes into a concise executive summary: customer churn rose in March; a pricing change affected small accounts; support wait time also increased; the team plans targeted outreach. State the likely connection cautiously and identify the next metric leaders should review. Avoid claiming causation without evidence.,moderate
Draft a response to an employee requesting a permanent remote work arrangement. Acknowledge the request explain that approval depends on role requirements and offer a meeting to discuss practical needs. Keep the tone supportive without promising an outcome. Include one sentence about documenting the agreed next step.,moderate
Write a job description for an operations coordinator who manages meeting logistics purchase requests and document tracking. Include a brief purpose statement five responsibilities and three measurable qualifications. Use inclusive language and distinguish essential duties from preferred experience. Keep the role description under 250 words.,moderate
A retailer reports monthly revenue of 12000 15000 13500 and 18000 dollars across four months. Calculate month-over-month percentage change for each transition. Identify the largest increase and write two sentences explaining why percentage changes should be interpreted alongside absolute dollar changes. Show each calculation clearly.,moderate
Given order records with customer ID product category quantity and unit price describe a spreadsheet method to calculate revenue by category. Specify the calculated column needed then explain how to create a pivot table and sort the categories from highest to lowest revenue. Include one validation check for missing prices.,moderate
A subscription business began the quarter with 500 customers gained 80 new customers and lost 45 customers. Calculate ending customers net growth rate and customer churn rate for the quarter. Show the formulas and explain why growth rate and churn rate answer different management questions. State the denominator used for each rate.,moderate
Design SQL logic that identifies customers who made a first purchase in January and no later purchase within 60 days. Describe the tables and date comparison needed. Explain how the result could support a reactivation campaign without assuming every inactive customer is dissatisfied. Include how you would exclude refunded orders.,moderate
A team ran an A/B test: version A had 1000 visitors and 60 conversions; version B had 980 visitors and 75 conversions. Calculate each conversion rate and the absolute percentage-point difference. Explain why this alone does not prove that version B should be launched. Identify one further statistical check the team needs.,moderate
Create a three-month moving average forecast for weekly sales of 40 44 50 46 55 and 60 units. Show the forecast for each week after enough history exists. Explain how a moving average smooths noise and one reason it can lag behind a sudden trend. State how missing weeks should be handled.,moderate
Define business rules for approving a customer discount request. The rules should consider order value account tenure and current margin. Present a short decision table that separates automatic approval manager review and rejection. Explain how the rules prevent a sales representative from overriding a low-margin safeguard. Include one example request outcome.,moderate
An accounts team has invoices with duplicate invoice numbers and inconsistent supplier names. Describe a data-cleaning workflow that standardizes names finds duplicates and creates a review list. Include one rule for deciding whether two similar names likely represent the same supplier. Explain why uncertain matches should not be merged automatically.,moderate
Calculate the reorder point for an item with average daily demand of 12 units a lead time of 9 days and safety stock of 30 units. Show the formula then explain what changes if supplier lead time becomes less predictable. Keep inventory policy separate from the calculation. State the resulting reorder threshold.,moderate
Given monthly budget and actual spending for marketing payroll and software describe how to build a variance report. Specify the variance formula and a conditional format rule for overspending. Explain how to distinguish a one-time variance from a recurring trend before recommending action. Include one question a manager should ask.,moderate
Create a customer segmentation approach using purchase frequency average order value and recency. Define three segments with clear thresholds and describe one suitable message for each. Explain how you would validate that the thresholds are useful rather than arbitrary. State which metric would show whether the messages worked.,moderate
Explain how to reconcile a sales report with a payment processor export when totals differ. Lay out a step-by-step comparison of dates refunds fees and failed payments. State how to document unresolved differences so the finance team can investigate them later. Include a final check before closing the reporting period.,moderate
Translate this customer message into polite French while preserving its calm tone: I received the wrong charger and need the correct one before my trip on Monday. Then explain one wording choice that makes the request courteous rather than demanding. Keep the translation appropriate for a business email.,moderate
Compare the roles of the executive legislative and judicial branches in the United States. Explain how one branch can limit another using two concrete examples. Keep the answer focused on the basic separation of powers rather than current political events. Use a short structure that a student could study.,moderate
Explain why the Industrial Revolution began in Britain before spreading through parts of Europe. Identify three connected factors involving resources finance and labor. Then describe one social consequence for city residents in a short paragraph. Distinguish causes from consequences in the explanation.,moderate
Translate this English instruction into Japanese for a workplace manual: Submit the completed form by 5 PM and notify your manager if you need an extension. Use a polite formal register and briefly explain how the level of formality is conveyed. Preserve the deadline and requested action accurately.,moderate
Compare a parliamentary system with a presidential system of government. Describe how leaders are selected how terms can end early and one advantage of each structure. Avoid using current countries as examples so the comparison remains conceptual. End by naming one practical tradeoff between stability and accountability.,moderate
Explain the difference between a primary source and a secondary source in historical research. Classify a diary written during an event a textbook and a later documentary. State why the classification matters when evaluating a claim about the past. Include one limitation of each type of source.,moderate
Translate this Spanish sentence into natural English and explain the implied tone: Se agradecería que enviara la documentación antes del viernes. Give one direct translation and one version suitable for a friendly business reminder. Explain why the two English versions differ in formality.,moderate
Describe how the Silk Road influenced culture as well as trade. Connect the movement of goods with the spread of ideas or technologies. Give two examples and explain why the route should be understood as a network rather than one road. Keep the explanation suitable for a secondary school reader.,moderate
Explain how a referendum differs from a representative legislative vote. Describe who makes the final decision in each case and one benefit and risk of direct public voting. Use neutral wording with no reference to a current campaign. State why the two mechanisms can produce different outcomes.,moderate
Compare the Greek myths of Icarus and Pandora as cautionary stories. Summarize the central action in each and identify the lesson traditionally associated with it. Then explain one meaningful difference in the kind of warning each story gives. Keep the comparison focused on the myths rather than modern adaptations.,moderate
Translate this short product description into German for an online store: This reusable bottle keeps drinks cold for twelve hours and has a leak-resistant lid. Preserve the factual tone and explain how you would avoid an overly promotional translation. Keep product claims accurate and concise.,moderate
Explain why maps can show the same Earth surface at different apparent sizes. Compare a globe with a Mercator projection and describe one practical benefit and one distortion. State which representation you would choose for teaching global distance and why. Use plain language without advanced cartography terminology.,moderate
Write a helpful support reply to a customer whose wireless earbuds stop charging after two weeks. Acknowledge the frustration ask for the order number and offer two basic troubleshooting steps. Explain when the case should be escalated for a replacement. Keep the reply under 150 words and avoid promising an outcome too early.,moderate
Create a two-day weekend itinerary for a visitor to Melbourne who enjoys art markets and vegetarian food. Group activities by neighborhood to reduce travel time. Include one indoor backup for rain and explain how the plan balances sightseeing with unstructured time. Keep the schedule flexible enough for a late arrival.,moderate
Adapt a pasta recipe for someone who has no dairy and only 30 minutes to cook. Use pantry ingredients such as tomatoes beans spinach and dried herbs. Give ordered steps and explain one substitution that keeps the sauce satisfying without cheese. Include an optional protein addition for nonvegetarian diners.,moderate
Write a short mystery story set on a late train. Include a lost key a misleading announcement and a resolution that is fair to the reader. Keep the story below 500 words and explain in one sentence how the clue points to the answer. Give the main character a believable motive.,moderate
Respond to a hotel guest who reports noisy construction outside their room at 6 AM. Apologize explain the immediate options and avoid guaranteeing a refund before reviewing the booking. Include a clear next step for the guest and a note for the front desk record. Keep the language calm and professional.,moderate
Design a weekly household chore plan for three roommates who work different schedules. Divide recurring tasks fairly and include a method for swapping chores. Explain how the plan prevents one person from repeatedly receiving the least desirable tasks. Include a brief weekly check-in rule for resolving disagreements.,moderate
Write a warm but firm reply to a customer asking for a return after the 30-day window. Mention the policy summarize the item condition needed for an exception review and offer an alternative such as store credit when appropriate. Avoid sounding scripted. Explain what information the agent should verify first.,moderate
Plan a beginner running routine for someone preparing for a 5K in eight weeks. Include three workouts per week rest days and a simple way to increase distance. Explain how the schedule reduces injury risk without assuming access to a gym. Add a guideline for adjusting the plan after persistent pain.,moderate
Create a packing checklist for a five-day winter business trip with one formal dinner and two outdoor walks. Organize items by category and explain how to choose layers that work for variable weather. Include one strategy for packing efficiently in carry-on luggage. Account for electronics and essential documents.,moderate
Draft a response to a subscription customer who says they were charged after cancelling. Explain how to verify the cancellation date and payment record before promising a refund. Use empathetic language and list the information support needs to investigate the case. Include a clear expected follow-up timeframe.,moderate
Write a 250-word birthday toast for a close friend who loves gardening and has just changed careers. Include one light joke one sincere reflection and a hopeful closing. Keep it personal without inventing specific events that the speaker did not provide. Make the final line easy to raise a glass to.,moderate
Help a parent plan weekday dinners for a family of four with one vegetarian child and a 60-dollar grocery limit. Suggest five varied meals using overlapping ingredients. Explain how the plan reduces waste and identify which meal can become leftovers for lunch. Include a short shopping list grouped by ingredient type.,moderate
Create a troubleshooting script for a caller whose home Wi-Fi connects but websites will not load. Begin with simple checks then move to router restart and device testing. Explain what each result reveals and when the caller should contact their internet provider. Use wording a nontechnical caller can follow.,moderate
Write a friendly response to an online review that praises product quality but criticizes slow delivery. Thank the reviewer acknowledge the delay and describe one concrete improvement the company is making. Keep the response public-facing and avoid sharing order details. End with an invitation to contact support if needed.,moderate
Plan a simple bedroom reorganization for a person who wants more desk space and easier access to daily clothes. Give a sequence for sorting moving furniture and assigning storage zones. Explain how to decide what should be donated rather than kept. Include one safety check before moving heavy items.,moderate
Compose a creative prompt for a writing group about a town where every forgotten object sends one message before disappearing. Include setting character tension and a surprising constraint. Then provide three questions that help writers develop different stories from the premise. Keep the premise open to several genres.,moderate
Draft a tactful message to a neighbor about a dog barking late at night. Describe the impact without accusation request a specific change and suggest a cooperative way to resolve the issue. Keep the tone suitable for someone you want to remain friendly with. Include an option for discussing the problem in person.,moderate
Create a decision guide for choosing between repairing or replacing a laptop with a cracked screen. Consider repair cost device age warranty status and the user's needs. Explain how to reach a practical recommendation without assuming the newest model is always best. Include one case where repair is clearly preferable.,moderate
Solve the system 3x plus 2y equals 16 and x minus y equals 2 using substitution. Show each algebra step and verify the final values in both equations. Then explain why substitution is especially convenient when one equation can be rearranged easily. State the ordered pair as the final answer.,moderate
