prompt,tier,word_count,char_count,sentence_count,avg_word_length,has_question_mark,code_token_count,instruction_verb_count,tier_label
Propose a subject for a thank-you card.,simple,7.0,39.0,1.0,5.57,0.0,0.0,1.0,0
Craft a welcome message for new neighbors.,simple,7.0,42.0,1.0,6.0,0.0,0.0,0.0,0
Share a simple tip for removing a coffee stain.,simple,9.0,47.0,1.0,5.22,0.0,0.0,0.0,0
Caption a sunset photo cheerfully.,simple,5.0,34.0,1.0,6.8,0.0,0.0,0.0,0
Describe the first step after forgetting a website password.,simple,9.0,60.0,1.0,6.67,0.0,0.0,1.0,0
Reply in one sentence to: Where is my package?,simple,9.0,46.0,1.0,5.11,1.0,0.0,0.0,0
Give a polite greeting for a phone call.,simple,8.0,40.0,1.0,5.0,0.0,0.0,0.0,0
Title a simple tomato soup recipe.,simple,6.0,34.0,1.0,5.67,0.0,0.0,0.0,0
Suggest a calm bedtime activity.,simple,5.0,32.0,1.0,6.4,0.0,0.0,0.0,0
Congratulate someone in a brief message.,simple,6.0,40.0,1.0,6.67,0.0,0.0,0.0,0
A phone battery is low. Name one quick action.,simple,9.0,46.0,2.0,5.11,0.0,0.0,0.0,0
Confirm a cancellation in one line.,simple,6.0,35.0,1.0,5.83,0.0,0.0,0.0,0
Provide a friendly closing for a chat message.,simple,8.0,46.0,1.0,5.75,0.0,0.0,0.0,0
Invent a short slogan for a bakery.,simple,7.0,35.0,1.0,5.0,0.0,0.0,0.0,0
State one simple way to save leftovers.,simple,7.0,39.0,1.0,5.57,0.0,0.0,1.0,0
Choose a title for a story about a lost kite.,simple,10.0,45.0,1.0,4.5,0.0,0.0,0.0,0
Write one sentence about a sunny morning.,simple,7.0,41.0,1.0,5.86,0.0,0.0,1.0,0
A return policy explains what?,simple,5.0,30.0,1.0,6.0,1.0,0.0,1.0,0
Reply politely to: Is this item in stock?,simple,8.0,41.0,1.0,5.12,1.0,0.0,0.0,0
Offer a polite phrase for asking for help.,simple,8.0,42.0,1.0,5.25,0.0,0.0,0.0,0
Make a short message for a housewarming gift.,simple,8.0,45.0,1.0,5.62,0.0,0.0,0.0,0
Recommend one item to bring to a picnic.,simple,8.0,40.0,1.0,5.0,0.0,0.0,0.0,0
Name an easy weekend hobby.,simple,5.0,27.0,1.0,5.4,0.0,0.0,0.0,0
Suggest a simple remedy for dry hands.,simple,7.0,38.0,1.0,5.43,0.0,0.0,0.0,0
Compose a one-line review for a good cafe.,simple,8.0,42.0,1.0,5.25,0.0,0.0,1.0,0
Multiply 7 by 8.,simple,4.0,16.0,1.0,4.0,0.0,0.0,0.0,0
Find the square root of 81.,simple,6.0,27.0,1.0,4.5,0.0,0.0,0.0,0
Convert 3 kilometers into meters.,simple,5.0,33.0,1.0,6.6,0.0,0.0,0.0,0
Calculate the minutes in two hours.,simple,6.0,35.0,1.0,5.83,0.0,0.0,1.0,0
H2O is commonly known as what?,simple,6.0,30.0,1.0,5.0,1.0,0.0,0.0,0
Which gas do plants take from the air?,simple,8.0,38.0,1.0,4.75,1.0,0.0,1.0,0
At sea level water boils at what Celsius temperature?,simple,9.0,53.0,1.0,5.89,1.0,0.0,0.0,0
Identify the organ that pumps blood.,simple,6.0,36.0,1.0,6.0,0.0,0.0,0.0,0
Give the chemical symbol for gold.,simple,6.0,34.0,1.0,5.67,0.0,0.0,0.0,0
Name the force that draws objects toward Earth.,simple,8.0,47.0,1.0,5.88,0.0,0.0,0.0,0
A hexagon has how many sides?,simple,6.0,29.0,1.0,4.83,1.0,0.0,0.0,0
Divide 12 by 3.,simple,4.0,15.0,1.0,3.75,0.0,0.0,0.0,0
Find the perimeter of a square with side length 4.,simple,10.0,50.0,1.0,5.0,0.0,0.0,0.0,0
Change 500 grams into kilograms.,simple,5.0,32.0,1.0,6.4,0.0,0.0,0.0,0
Water freezes at what Celsius temperature?,simple,6.0,42.0,1.0,7.0,1.0,0.0,0.0,0
Which planet is nearest to the Sun?,simple,7.0,35.0,1.0,5.0,1.0,0.0,1.0,0
State the formula for a rectangle's area.,simple,7.0,41.0,1.0,5.86,0.0,0.0,1.0,0
Evaluate 9 squared.,simple,3.0,19.0,1.0,6.33,0.0,0.0,0.0,0
How many centimeters make one meter?,simple,6.0,36.0,1.0,6.0,1.0,0.0,0.0,0
DNA stands for what?,simple,4.0,20.0,1.0,5.0,1.0,0.0,0.0,0
Oxygen uses which chemical symbol?,simple,5.0,34.0,1.0,6.8,1.0,0.0,0.0,0
Work out 25 percent of 80.,simple,6.0,26.0,1.0,4.33,0.0,0.0,0.0,0
How can a mammal be identified?,simple,6.0,31.0,1.0,5.17,1.0,0.0,0.0,0
Round pi to two decimal places.,simple,6.0,31.0,1.0,5.17,0.0,0.0,0.0,0
A right angle contains how many degrees?,simple,7.0,40.0,1.0,5.71,1.0,0.0,0.0,0
What star is closest to Earth?,simple,6.0,30.0,1.0,5.0,1.0,0.0,0.0,0
Explain evaporation in a few words.,simple,6.0,35.0,1.0,5.83,0.0,0.0,1.0,0
Describe a triangle.,simple,3.0,20.0,1.0,6.67,0.0,0.0,1.0,0
Express 2 liters in milliliters.,simple,5.0,32.0,1.0,6.4,0.0,0.0,0.0,0
Subtract 47 from 100.,simple,4.0,21.0,1.0,5.25,0.0,0.0,0.0,0
Which planet is famous for its rings?,simple,7.0,37.0,1.0,5.29,1.0,0.0,1.0,0
A vertebrate has what feature?,simple,5.0,30.0,1.0,6.0,1.0,0.0,0.0,0
Compute 6 cubed.,simple,3.0,16.0,1.0,5.33,0.0,0.0,0.0,0
Electrical resistance is measured in which unit?,simple,7.0,48.0,1.0,6.86,1.0,0.0,0.0,0
Add one half and one half.,simple,6.0,26.0,1.0,4.33,0.0,0.0,0.0,0
An adult human typically has how many bones?,simple,8.0,44.0,1.0,5.5,1.0,0.0,0.0,0
Write a Python function that accepts a list of integers and returns the second largest distinct value. Explain the algorithm briefly. It must handle duplicates correctly and raise ValueError with a helpful message when fewer than two distinct values are supplied. Include two example calls with expected outputs.,moderate,48.0,312.0,4.0,6.5,0.0,1.0,3.0,1
Implement a JavaScript debounce utility that delays a callback until 300 milliseconds pass without another call. Preserve this binding and all arguments. Show a short browser usage example for a search box and explain why the utility prevents unnecessary work. State one limitation and use plain JavaScript with no external library.,moderate,51.0,332.0,4.0,6.51,0.0,0.0,3.0,1
Debug the following Python behavior conceptually: a function meant to count words returns zero for text with repeated spaces. Provide a corrected implementation using standard library features. Explain the original mistake and give test cases for an empty string and a sentence containing tabs. Keep the solution in one short function.,moderate,51.0,335.0,4.0,6.57,0.0,2.0,2.0,1
Given tables orders and customers write one SQL query that lists each customer name with total completed order value during 2025. Exclude customers with no completed orders. Group and sort results from highest total to lowest total. Explain what each join and filter accomplishes. Use only standard SELECT syntax and no stored procedures.,moderate,53.0,338.0,5.0,6.38,0.0,1.0,2.0,1
Create a Flask endpoint named /tasks that accepts JSON with title and due_date. Validate both fields and return meaningful HTTP errors for malformed input. Store nothing permanently. Show the route function and two example request bodies with their expected status codes. Keep the example limited to a single source file.,moderate,50.0,321.0,5.0,6.42,0.0,1.0,1.0,1
Write a TypeScript type guard that distinguishes an ApiError object from an unknown thrown value. The guard should check a string message and numeric status. Demonstrate its use inside a catch block and explain how it prevents unsafe property access without using any type assertion. Include one invalid input example and its result.,moderate,53.0,333.0,4.0,6.28,0.0,0.0,3.0,1
Write a Bash command pipeline that reads an access log and prints the five most frequent request paths. Ignore query strings and preserve paths with hyphens. Explain the role of each command and mention how you would handle an empty log file. Use common Unix utilities only.,moderate,47.0,274.0,4.0,5.83,0.0,0.0,2.0,1
A React counter component sometimes displays a stale value after two rapid clicks because it calls setCount with count plus one. Rewrite the handler using the correct update form. Explain why the change works and include the complete small component in one file. Add a button label suitable for screen readers.,moderate,51.0,310.0,4.0,6.08,0.0,0.0,3.0,1
Develop a regular expression and a short JavaScript validation function for dates formatted YYYY-MM-DD. Reject impossible months and days such as 2025-19-40. Do not attempt leap-year validation. Explain the difference between format validation and calendar validation. Include two valid and two invalid test values.,moderate,44.0,315.0,5.0,7.16,0.0,1.0,3.0,1
Write unit tests in pytest for a Python normalize_email function that trims whitespace and lowercases the domain while preserving the local part. Cover valid input blank input and an address without an at sign. State what behavior should raise an exception. Include clear test names that describe each expected result.,moderate,50.0,318.0,4.0,6.36,0.0,1.0,4.0,1
Compare HTTP status codes 401 403 and 404 for a protected API resource. Give one realistic scenario for each code and explain which response should be returned when a logged-in user lacks permission to view a record. Keep the explanation suitable for a junior developer and distinguish authentication from authorization.,moderate,50.0,320.0,3.0,6.4,0.0,0.0,4.0,1
Explain how to resolve a simple Git merge conflict where two developers changed different lines in the same README section. List the safe sequence of commands after opening the conflicted file. Include how to inspect the final diff before creating the merge commit. Mention one reason not to blindly accept either version.,moderate,52.0,322.0,4.0,6.19,0.0,0.0,3.0,1
Improve a Dockerfile for a small Node application that currently installs dependencies after copying all source files. Show an efficient layer order that makes rebuilds faster. Explain the cache benefit and include a .dockerignore suggestion for node_modules. Keep the solution focused on a single production service.,moderate,46.0,317.0,5.0,6.89,0.0,0.0,3.0,1
Explain how browser cache headers affect a versioned CSS file and an HTML document that references it. Recommend different Cache-Control values for each. Walk through what happens after a new stylesheet version is deployed and a user refreshes the page. State why versioned asset names make long cache lifetimes safer.,moderate,50.0,318.0,4.0,6.36,0.0,0.0,2.0,1
Write a Python function that converts a list of product dictionaries into a dictionary keyed by SKU. If an SKU appears twice retain the item with the highest price. Explain the duplicate rule and show one short example in prose using three items. Include the expected result for the repeated SKU.,moderate,51.0,296.0,4.0,5.8,0.0,1.0,3.0,1
Trace binary search on the sorted numbers 3 8 11 14 20 27 31 while searching for 20. Show the low high and middle positions at every iteration. Then state the time complexity and why the list must already be sorted. Explain what value would indicate that the target was absent.,moderate,51.0,277.0,4.0,5.43,0.0,0.0,2.0,1
Refactor a JavaScript async function that fetches a user profile so it reports network failures separately from a non-OK HTTP response. Use async await and one try catch block. Return a simple object with either data or an error message. Explain the control flow and show how a caller checks the result.,moderate,52.0,303.0,4.0,5.83,0.0,1.0,1.0,1
Build a responsive CSS layout for a profile page with a fixed width sidebar on wide screens and a stacked layout on narrow screens. Use Flexbox and one media query only. Explain which flex properties control resizing and wrapping. Include accessible semantic elements for the main profile sections.,moderate,48.0,298.0,4.0,6.21,0.0,0.0,3.0,1
Implement a basic token bucket rate limiter in Python for one user identifier. It should allow five requests per minute and report whether the next request is permitted. Use in-memory state only. Explain how tokens refill and state one limitation of this approach. Include a brief example of six rapid requests.,moderate,51.0,311.0,5.0,6.1,0.0,0.0,4.0,1
Write a C# LINQ expression that groups a list of sales records by region and calculates total revenue for each group. Sort groups by revenue descending. Show the record class definition and explain how GroupBy and Sum combine in the query. Include a short explanation of how ties are handled.,moderate,50.0,292.0,4.0,5.84,0.0,1.0,5.0,1
